link_no,name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),road_name,lon_start,lat_start,lon_end,lat_end,lon_mid,lat_mid,mid_geometry,geometry
N4-10,Baila (Int.with N404)-Elenga(Int.with N405),LRP065,375,63.334,LRP072,284,69.712,6.378,35.0,6691.0,1439.0,4665.0,729.0,1456.0,95.0,703.0,4532.0,1634.0,162.0,238.0,0.0,21979.0,400.0,22379.0,22379.0,N4,89.9203882,24.2814993,89.9248604,24.3369719,89.9226243,24.3092356,POINT (89.9226243 24.3092356),"LINESTRING (89.9203882 24.2814993, 89.9248604 24.3369719)"
N4-11,Elenga(Int.with N405)-Kalihati (Int.with Z4016),LRP072,284,69.712,LRP081,790,79.288,9.576,2.0,1461.0,1046.0,815.0,164.0,295.0,179.0,303.0,2585.0,1088.0,197.0,558.0,0.0,7938.0,755.0,8693.0,8693.0,N4,89.9248604,24.3369719,89.9899997,24.3853608,89.95743005,24.36116635,POINT (89.95743005 24.36116635),"LINESTRING (89.9248604 24.3369719, 89.9899997 24.3853608)"
N4-12,Kalihati(Int.with Z4016)-Ghatail(Int.with Z3037),LRP081,790,79.288,LRP091,1060,89.598,10.310,2.0,1461.0,1046.0,815.0,164.0,295.0,179.0,303.0,2585.0,1088.0,197.0,558.0,0.0,7938.0,755.0,8693.0,8693.0,N4,89.9899997,24.3853608,89.9745827,24.4687493,89.98229119999999,24.42705505,POINT (89.98229119999999 24.42705505),"LINESTRING (89.9899997 24.3853608, 89.9745827 24.4687493)"
N4-13,Ghatail(Int.with Z3037)-Porabari(Int.with Z4017),LRP091,1060,89.598,LRP095,1119,93.627,4.029,6.0,1652.0,982.0,1254.0,280.0,321.0,97.0,304.0,1655.0,1932.0,1234.0,1873.0,0.0,8483.0,3107.0,11590.0,11590.0,N4,89.9745827,24.4687493,89.9759438,24.5041667,89.97526325,24.486458,POINT (89.97526325 24.486458),"LINESTRING (89.9745827 24.4687493, 89.9759438 24.5041667)"
N4-14,Porabari(Int.with Z4017)-Modhupur(Int.with N401),LRP095,1119,93.627,LRP107,1133,105.636,12.009,6.0,1652.0,982.0,1254.0,280.0,321.0,97.0,304.0,1655.0,1932.0,1234.0,1873.0,0.0,8483.0,3107.0,11590.0,11590.0,N4,89.9759438,24.5041667,90.0258049,24.5974441,90.00087435,24.5508054,POINT (90.00087435 24.5508054),"LINESTRING (89.9759438 24.5041667, 90.0258049 24.5974441)"
N4-15,Modhupur(Int.with N401)-Digpaith (Int.with Z4023),LRP107,1133,105.636,LRP130,708,128.135,22.499,13.0,508.0,339.0,333.0,0.0,265.0,136.0,179.0,1309.0,1866.0,757.0,1264.0,10.0,4948.0,2031.0,6979.0,6979.0,N4,90.0258049,24.5974441,89.9297493,24.7604167,89.9777771,24.6789304,POINT (89.9777771 24.6789304),"LINESTRING (90.0258049 24.5974441, 89.9297493 24.7604167)"
N4-16,Digpaith(Int.with Z4023)-Int.With Z4025,LRP130,708,128.135,LRP144,450,142.122,13.987,13.0,508.0,339.0,333.0,0.0,265.0,136.0,179.0,1309.0,1866.0,757.0,1264.0,10.0,4948.0,2031.0,6979.0,6979.0,N4,89.9297493,24.7604167,89.9443052,24.8837774,89.93702725,24.82209705,POINT (89.93702725 24.82209705),"LINESTRING (89.9297493 24.7604167, 89.9443052 24.8837774)"
N4-17,Int.With Z4025-Jamalpur,LRP144,450,142.122,LRP145,3673,146.355,4.233,13.0,508.0,339.0,333.0,0.0,265.0,136.0,179.0,1309.0,1866.0,757.0,1264.0,10.0,4948.0,2031.0,6979.0,6979.0,N4,89.9443052,24.8837774,89.9478886,24.8914997,89.9460969,24.88763855,POINT (89.9460969 24.88763855),"LINESTRING (89.9443052 24.8837774, 89.9478886 24.8914997)"
N112-1,Panchgachia (int.with N104) - Int.with N1,LRPS,0,0,LRPS,1220,1.22,1.220,0.0,254.0,410.0,452.0,199.0,517.0,419.0,233.0,2812.0,821.0,46.0,112.0,0.0,6117.0,158.0,6275.0,6275.0,N112,91.3693882,23.0091944,91.3693882,23.0091944,91.3693882,23.0091944,POINT (91.3693882 23.0091944),"LINESTRING (91.3693882 23.0091944, 91.3693882 23.0091944)"
N112-2,Int.with N1-Dewangonj (int.with Z1031),LRPS,1220,1.22,LRPE,0,2.72,1.500,0.0,254.0,410.0,452.0,199.0,517.0,419.0,233.0,2812.0,821.0,46.0,112.0,0.0,6117.0,158.0,6275.0,6275.0,N112,91.3693882,23.0091944,91.3742493,23.0318604,91.37181875,23.0205274,POINT (91.37181875 23.0205274),"LINESTRING (91.3693882 23.0091944, 91.3742493 23.0318604)"
N1-1L,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0,0,LRPS,822,0.822,0.822,402.0,5842.0,1147.0,2842.0,526.0,2010.0,238.0,1851.0,2980.0,398.0,232.0,889.0,0.0,18236.0,1121.0,19357.0,19357.0,N1,90.443333,23.7060278,90.443333,23.7060278,90.443333,23.7060278,POINT (90.443333 23.7060278),"LINESTRING (90.443333 23.7060278, 90.443333 23.7060278)"
N1-1R,Jatrabari - Int.with Z1101 (Left) (Right),LRPS,0,0,LRPS,822,0.822,0.822,660.0,6155.0,1554.0,2744.0,971.0,2120.0,480.0,2608.0,2508.0,436.0,213.0,1088.0,0.0,20236.0,1301.0,21537.0,21537.0,N1,90.443333,23.7060278,90.443333,23.7060278,90.443333,23.7060278,POINT (90.443333 23.7060278),"LINESTRING (90.443333 23.7060278, 90.443333 23.7060278)"
N1-2L,Int.with Z1101 - Signboard (Left) R111 (Left),LRPS,822,0.822,LRPS,4175,4.175,3.353,660.0,6155.0,1554.0,2744.0,971.0,2120.0,480.0,2608.0,2508.0,436.0,213.0,1088.0,0.0,20236.0,1301.0,21537.0,21537.0,N1,90.443333,23.7060278,90.443333,23.7060278,90.443333,23.7060278,POINT (90.443333 23.7060278),"LINESTRING (90.443333 23.7060278, 90.443333 23.7060278)"
N1-2R,Int.with Z1101 - Signboard (Left) R111 (Right),LRPS,822,0.822,LRPS,4175,4.175,3.353,402.0,5842.0,1147.0,2842.0,526.0,2010.0,238.0,1851.0,2980.0,398.0,232.0,889.0,0.0,18236.0,1121.0,19357.0,19357.0,N1,90.443333,23.7060278,90.443333,23.7060278,90.443333,23.7060278,POINT (90.443333 23.7060278),"LINESTRING (90.443333 23.7060278, 90.443333 23.7060278)"
N1-3L,Signboard - Shimrail (Left)R110 (Left),LRPS,4175,4.175,LRPS,7181,7.181,3.006,91.0,2706.0,2184.0,2534.0,1773.0,1643.0,314.0,1690.0,2266.0,1087.0,75.0,1198.0,0.0,16288.0,1273.0,17561.0,17561.0,N1,90.443333,23.7060278,90.443333,23.7060278,90.443333,23.7060278,POINT (90.443333 23.7060278),"LINESTRING (90.443333 23.7060278, 90.443333 23.7060278)"
N1-3R,Signboard - Shimrail (Left)R110 (Right),LRPS,4175,4.175,LRPS,7181,7.181,3.006,85.0,2544.0,2053.0,2412.0,1688.0,1564.0,298.0,1609.0,2157.0,1035.0,72.0,1140.0,0.0,15445.0,1212.0,16657.0,16657.0,N1,90.443333,23.7060278,90.443333,23.7060278,90.443333,23.7060278,POINT (90.443333 23.7060278),"LINESTRING (90.443333 23.7060278, 90.443333 23.7060278)"
N1-4L,Shimrail  - Katchpur  (Left)N2 (Left),LRPS,7181,7.181,LRP009,260,8.763,1.582,174.0,2905.0,1360.0,2576.0,1356.0,1415.0,320.0,1579.0,3154.0,1162.0,211.0,1077.0,0.0,16001.0,1288.0,17289.0,17289.0,N1,90.443333,23.7060278,90.5193327,23.7050278,90.48133285,23.7055278,POINT (90.48133285 23.7055278),"LINESTRING (90.443333 23.7060278, 90.5193327 23.7050278)"
N1-4R,Shimrail  - Katchpur  (Left)N2 (Right),LRPS,7181,7.181,LRP009,260,8.763,1.582,153.0,2955.0,1566.0,2438.0,1456.0,1299.0,345.0,1948.0,2693.0,1143.0,517.0,1531.0,0.0,15996.0,2048.0,18044.0,18044.0,N1,90.443333,23.7060278,90.5193327,23.7050278,90.48133285,23.7055278,POINT (90.48133285 23.7055278),"LINESTRING (90.443333 23.7060278, 90.5193327 23.7050278)"
N1-5L,Katchpur - Madanpur (Left)N105 (Left),LRP009,260,8.763,LRP012,439,11.936,3.173,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,23879.0,N1,90.5193327,23.7050278,90.5426108,23.6918052,90.53097175,23.6984165,POINT (90.53097175 23.6984165),"LINESTRING (90.5193327 23.7050278, 90.5426108 23.6918052)"
N1-5R,Katchpur - Madanpur (Left)N105 (Right),LRP009,260,8.763,LRP012,439,11.936,3.173,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,24589.0,N1,90.5193327,23.7050278,90.5426108,23.6918052,90.53097175,23.6984165,POINT (90.53097175 23.6984165),"LINESTRING (90.5193327 23.7050278, 90.5426108 23.6918052)"
N1-6L,Madanpur - Langalband (Left)Z1061 (Left),LRP012,439,11.936,LRP013,3411,15.935,3.999,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,24589.0,N1,90.5426108,23.6918052,90.5504167,23.6865274,90.54651375,23.6891663,POINT (90.54651375 23.6891663),"LINESTRING (90.5426108 23.6918052, 90.5504167 23.6865274)"
N1-6R,Madanpur - Langalband (Left)Z1061 (Right),LRP012,439,11.936,LRP013,3411,15.935,3.999,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,23879.0,N1,90.5426108,23.6918052,90.5504167,23.6865274,90.54651375,23.6891663,POINT (90.54651375 23.6891663),"LINESTRING (90.5426108 23.6918052, 90.5504167 23.6865274)"
N1-7L,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),LRP013,3411,15.935,LRP013,7520,20.044,4.109,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,24589.0,N1,90.5504167,23.6865274,90.5504167,23.6865274,90.5504167,23.6865274,POINT (90.5504167 23.6865274),"LINESTRING (90.5504167 23.6865274, 90.5504167 23.6865274)"
N1-7R,Langalband - Mograpara Chowrasta (Left)Z1089 (Right),LRP013,3411,15.935,LRP013,7520,20.044,4.109,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,23879.0,N1,90.5504167,23.6865274,90.5504167,23.6865274,90.5504167,23.6865274,POINT (90.5504167 23.6865274),"LINESTRING (90.5504167 23.6865274, 90.5504167 23.6865274)"
N1-8L,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,7520,20.044,LRP022,1935,23.564,3.520,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,N1,90.5504167,23.6865274,90.6049722,23.6252216,90.57769445,23.6558745,POINT (90.57769445 23.6558745),"LINESTRING (90.5504167 23.6865274, 90.6049722 23.6252216)"
N1-8R,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Right),LRP013,7520,20.044,LRP022,1935,23.564,3.520,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,N1,90.5504167,23.6865274,90.6049722,23.6252216,90.57769445,23.6558745,POINT (90.57769445 23.6558745),"LINESTRING (90.5504167 23.6865274, 90.6049722 23.6252216)"
N1-9L,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),LRP022,1935,23.564,LRP031,162,30.936,7.372,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,N1,90.6049722,23.6252216,90.6548056,23.5599722,90.6298889,23.5925969,POINT (90.6298889 23.5925969),"LINESTRING (90.6049722 23.6252216, 90.6548056 23.5599722)"
N1-9R,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Right),LRP022,1935,23.564,LRP031,162,30.936,7.372,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,N1,90.6049722,23.6252216,90.6548056,23.5599722,90.6298889,23.5925969,POINT (90.6298889 23.5925969),"LINESTRING (90.6049722 23.6252216, 90.6548056 23.5599722)"
N1-10L,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),LRP031,162,30.936,LRP033,3664,36.271,5.335,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,N1,90.6548056,23.5599722,90.6678327,23.5487497,90.66131915,23.55436095,POINT (90.66131915 23.55436095),"LINESTRING (90.6548056 23.5599722, 90.6678327 23.5487497)"
N1-10R,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Right),LRP031,162,30.936,LRP033,3664,36.271,5.335,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,N1,90.6548056,23.5599722,90.6678327,23.5487497,90.66131915,23.55436095,POINT (90.66131915 23.55436095),"LINESTRING (90.6548056 23.5599722, 90.6678327 23.5487497)"
N1-11L,Daudkandi Bridge- Daudkandi Z1062 (Left),LRP033,3664,36.271,LRP033,5859,38.466,2.195,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,N1,90.6678327,23.5487497,90.6678327,23.5487497,90.6678327,23.5487497,POINT (90.6678327 23.5487497),"LINESTRING (90.6678327 23.5487497, 90.6678327 23.5487497)"
N1-11R,Daudkandi Bridge- Daudkandi Z1062 (Right),LRP033,3664,36.271,LRP033,5859,38.466,2.195,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,N1,90.6678327,23.5487497,90.6678327,23.5487497,90.6678327,23.5487497,POINT (90.6678327 23.5487497),"LINESTRING (90.6678327 23.5487497, 90.6678327 23.5487497)"
N1-12L,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,5859,38.466,LRP043,3119,45.388,6.922,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,90.6678327,23.5487497,90.75175,23.529416,90.70979135,23.53908285,POINT (90.70979135 23.53908285),"LINESTRING (90.6678327 23.5487497, 90.75175 23.529416)"
N1-12R,Daudkandi Z1062 - Pennai Z1053 (Right),LRP033,5859,38.466,LRP043,3119,45.388,6.922,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,90.6678327,23.5487497,90.75175,23.529416,90.70979135,23.53908285,POINT (90.70979135 23.53908285),"LINESTRING (90.6678327 23.5487497, 90.75175 23.529416)"
N1-13L,Pennai Z1053- Gouripur (Int.with Z1044) (Left),LRP043,3119,45.388,LRP043,4955,47.224,1.836,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,90.75175,23.529416,90.75175,23.529416,90.75175,23.529416,POINT (90.75175 23.529416),"LINESTRING (90.75175 23.529416, 90.75175 23.529416)"
N1-13R,Pennai Z1053- Gouripur (Int.with Z1044) (Right),LRP043,3119,45.388,LRP043,4955,47.224,1.836,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,90.75175,23.529416,90.75175,23.529416,90.75175,23.529416,POINT (90.75175 23.529416),"LINESTRING (90.75175 23.529416, 90.75175 23.529416)"
N1-14L,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),LRP043,4955,47.224,LRP043,13208,55.477,8.253,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,90.75175,23.529416,90.75175,23.529416,90.75175,23.529416,POINT (90.75175 23.529416),"LINESTRING (90.75175 23.529416, 90.75175 23.529416)"
N1-14R,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right),LRP043,4955,47.224,LRP043,13208,55.477,8.253,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,90.75175,23.529416,90.75175,23.529416,90.75175,23.529416,POINT (90.75175 23.529416),"LINESTRING (90.75175 23.529416, 90.75175 23.529416)"
N1-15L,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,13208,55.477,LRP043,20009,62.278,6.801,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,90.75175,23.529416,90.75175,23.529416,90.75175,23.529416,POINT (90.75175 23.529416),"LINESTRING (90.75175 23.529416, 90.75175 23.529416)"
N1-15R,Eliotganj Z1042- Madhaya Z1017 (Right),LRP043,13208,55.477,LRP043,20009,62.278,6.801,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,90.75175,23.529416,90.75175,23.529416,90.75175,23.529416,POINT (90.75175 23.529416),"LINESTRING (90.75175 23.529416, 90.75175 23.529416)"
N1-16L,Madhaya Z1017 - Chandina Z1022 (Left),LRP043,20009,62.278,LRP067,3912,69.638,7.360,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,90.75175,23.529416,90.9674716,23.4972774,90.8596108,23.5133467,POINT (90.8596108 23.5133467),"LINESTRING (90.75175 23.529416, 90.9674716 23.4972774)"
N1-16R,Madhaya Z1017 - Chandina Z1022 (Right),LRP043,20009,62.278,LRP067,3912,69.638,7.360,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,90.75175,23.529416,90.9674716,23.4972774,90.8596108,23.5133467,POINT (90.8596108 23.5133467),"LINESTRING (90.75175 23.529416, 90.9674716 23.4972774)"
N1-17L,Chandina Z1022 - Nimsar  (Int.with Z1219 & Z1028)  (Left),LRP067,3912,69.638,LRP076,1760,75.589,5.951,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,N1,90.9674716,23.4972774,91.0419719,23.4814716,91.00472174999999,23.4893745,POINT (91.00472174999999 23.4893745),"LINESTRING (90.9674716 23.4972774, 91.0419719 23.4814716)"
N1-17R,Chandina Z1022 - Nimsar  (Int.with Z1219 & Z1028)  (Right),LRP067,3912,69.638,LRP076,1760,75.589,5.951,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,N1,90.9674716,23.4972774,91.0419719,23.4814716,91.00472174999999,23.4893745,POINT (91.00472174999999 23.4893745),"LINESTRING (90.9674716 23.4972774, 91.0419719 23.4814716)"
N1-18L,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),LRP076,1760,75.589,LRP076,8017,81.846,6.257,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,N1,91.0419719,23.4814716,91.0419719,23.4814716,91.0419719,23.4814716,POINT (91.0419719 23.4814716),"LINESTRING (91.0419719 23.4814716, 91.0419719 23.4814716)"
N1-18R,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Right),LRP076,1760,75.589,LRP076,8017,81.846,6.257,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,N1,91.0419719,23.4814716,91.0419719,23.4814716,91.0419719,23.4814716,POINT (91.0419719 23.4814716),"LINESTRING (91.0419719 23.4814716, 91.0419719 23.4814716)"
N1-19L,Mainamati  N102- Int.with Z1029 (Left),LRP076,8017,81.846,LRP076,12068,85.897,4.051,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,N1,91.0419719,23.4814716,91.0419719,23.4814716,91.0419719,23.4814716,POINT (91.0419719 23.4814716),"LINESTRING (91.0419719 23.4814716, 91.0419719 23.4814716)"
N1-19R,Mainamati  N102- Int.with Z1029 (Right),LRP076,8017,81.846,LRP076,12068,85.897,4.051,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,N1,91.0419719,23.4814716,91.0419719,23.4814716,91.0419719,23.4814716,POINT (91.0419719 23.4814716),"LINESTRING (91.0419719 23.4814716, 91.0419719 23.4814716)"
N1-20L,Int.with Z1029 - Int.with Z1052 (Left),LRP076,12068,85.897,LRP076,13537,87.366,1.469,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,N1,91.0419719,23.4814716,91.0419719,23.4814716,91.0419719,23.4814716,POINT (91.0419719 23.4814716),"LINESTRING (91.0419719 23.4814716, 91.0419719 23.4814716)"
N1-20R,Int.with Z1029 - Int.with Z1052 (Right),LRP076,12068,85.897,LRP076,13537,87.366,1.469,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,N1,91.0419719,23.4814716,91.0419719,23.4814716,91.0419719,23.4814716,POINT (91.0419719 23.4814716),"LINESTRING (91.0419719 23.4814716, 91.0419719 23.4814716)"
N1-21L,Int.with Z1052 - Changani (Kotbari) (Left),LRP076,13537,87.366,LRP091,897,89.41,2.044,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,12042.0,N1,91.0419719,23.4814716,91.1521944,23.4373886,91.09708315,23.4594301,POINT (91.09708315 23.4594301),"LINESTRING (91.0419719 23.4814716, 91.1521944 23.4373886)"
N1-21R,Int.with Z1052 - Changani (Kotbari) (Right),LRP076,13537,87.366,LRP091,897,89.41,2.044,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,N1,91.0419719,23.4814716,91.1521944,23.4373886,91.09708315,23.4594301,POINT (91.09708315 23.4594301),"LINESTRING (91.0419719 23.4814716, 91.1521944 23.4373886)"
N1-22L,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),LRP091,897,89.41,LRP093,1090,91.583,2.173,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,12042.0,N1,91.1521944,23.4373886,91.1626944,23.4236938,91.1574444,23.4305412,POINT (91.1574444 23.4305412),"LINESTRING (91.1521944 23.4373886, 91.1626944 23.4236938)"
N1-22R,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Right),LRP091,897,89.41,LRP093,1090,91.583,2.173,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,N1,91.1521944,23.4373886,91.1626944,23.4236938,91.1574444,23.4305412,POINT (91.1574444 23.4305412),"LINESTRING (91.1521944 23.4373886, 91.1626944 23.4236938)"
N1-23L,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left),LRP093,1090,91.583,LRP105,3631,105.879,14.296,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,12042.0,N1,91.1626944,23.4236938,91.2515556,23.3615278,91.207125,23.3926108,POINT (91.207125 23.3926108),"LINESTRING (91.1626944 23.4236938, 91.2515556 23.3615278)"
N1-23R,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Right),LRP093,1090,91.583,LRP105,3631,105.879,14.296,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,N1,91.1626944,23.4236938,91.2515556,23.3615278,91.207125,23.3926108,POINT (91.207125 23.3926108),"LINESTRING (91.1626944 23.4236938, 91.2515556 23.3615278)"
N1-24L,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left),LRP105,3631,105.879,LRP105,17450,119.698,13.819,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,12042.0,N1,91.2515556,23.3615278,91.2515556,23.3615278,91.2515556,23.3615278,POINT (91.2515556 23.3615278),"LINESTRING (91.2515556 23.3615278, 91.2515556 23.3615278)"
N1-24R,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Right),LRP105,3631,105.879,LRP105,17450,119.698,13.819,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,N1,91.2515556,23.3615278,91.2515556,23.3615278,91.2515556,23.3615278,POINT (91.2515556 23.3615278),"LINESTRING (91.2515556 23.3615278, 91.2515556 23.3615278)"
N1-25L,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left),LRP105,17450,119.698,LRP142,230,138.869,19.171,459.0,3515.0,726.0,761.0,304.0,688.0,251.0,508.0,929.0,324.0,33.0,121.0,0.0,8465.0,154.0,8619.0,8619.0,N1,91.2515556,23.3615278,91.3616389,23.0635278,91.30659725000001,23.2125278,POINT (91.30659725000001 23.2125278),"LINESTRING (91.2515556 23.3615278, 91.3616389 23.0635278)"
N1-25R,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Right),LRP105,17450,119.698,LRP142,230,138.869,19.171,398.0,3838.0,863.0,780.0,314.0,674.0,306.0,589.0,760.0,353.0,36.0,115.0,0.0,8875.0,151.0,9026.0,9026.0,N1,91.2515556,23.3615278,91.3616389,23.0635278,91.30659725000001,23.2125278,POINT (91.30659725000001 23.2125278),"LINESTRING (91.2515556 23.3615278, 91.3616389 23.0635278)"
N1-26L,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left),LRP142,230,138.869,LRP143,500,140.251,1.382,459.0,3515.0,726.0,761.0,304.0,688.0,251.0,508.0,929.0,324.0,33.0,121.0,0.0,8465.0,154.0,8619.0,8619.0,N1,91.3616389,23.0635278,91.3637222,23.0538611,91.36268055,23.058694449999997,POINT (91.36268055 23.058694449999997),"LINESTRING (91.3616389 23.0635278, 91.3637222 23.0538611)"
