link_no,name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),road_name,lon_start,lat_start,lon_end,lat_end,lon_mid,lat_mid,mid_geometry,geometry
N804-1,Bhanga-Pukuria (Int. with Z8401),LRPS,0,0,LRP006,826,5.826,5.826,81.0,672.0,769.0,365.0,441.0,136.0,58.0,119.0,1030.0,684.0,382.0,367.0,0.0,4355.0,749.0,5104.0,5104.0,N804,89.9838886,23.3903608,89.9591111,23.4277771,89.97149985,23.409068949999998,POINT (89.97149985 23.409068949999998),"LINESTRING (89.9838886 23.3903608, 89.9591111 23.4277771)"
N804-2,Pukuria(Int. with Z8401)-Talma (Int. with Z8404),LRP006,826,5.826,LRP017,897,16.797,10.971,81.0,672.0,769.0,365.0,441.0,136.0,58.0,119.0,1030.0,684.0,382.0,367.0,0.0,4355.0,749.0,5104.0,5104.0,N804,89.9591111,23.4277771,89.8894719,23.4978052,89.92429150000001,23.46279115,POINT (89.92429150000001 23.46279115),"LINESTRING (89.9591111 23.4277771, 89.8894719 23.4978052)"
N804-3,Talma (Int. with Z8404) -Munshipara (Int. with N808),LRP017,897,16.797,LRP026,270,25.348,8.551,133.0,855.0,464.0,423.0,379.0,366.0,84.0,217.0,2244.0,1759.0,277.0,491.0,0.0,6924.0,768.0,7692.0,7692.0,N804,89.8894719,23.4978052,89.8517778,23.5653056,89.87062485,23.5315554,POINT (89.87062485 23.5315554),"LINESTRING (89.8894719 23.4978052, 89.8517778 23.5653056)"
N804-4,Munshipara (Int. with N808) -Faridpur (Alipur) Int. with N803,LRP026,270,25.348,LRP026,4682,29.76,4.412,133.0,855.0,464.0,423.0,379.0,366.0,84.0,217.0,2244.0,1759.0,277.0,491.0,0.0,6924.0,768.0,7692.0,7692.0,N804,89.8517778,23.5653056,89.8517778,23.5653056,89.8517778,23.5653056,POINT (89.8517778 23.5653056),"LINESTRING (89.8517778 23.5653056, 89.8517778 23.5653056)"
N804-5,Faridpur (Alipur) Int. with N803-Faridpur (Goalchamot) Int. with N7,LRP026,4682,29.76,LRPE,0,32.063,2.303,0.0,68.0,133.0,20.0,84.0,25.0,47.0,81.0,1154.0,1032.0,516.0,1025.0,9.0,2644.0,1550.0,4194.0,4194.0,N804,89.8517778,23.5653056,89.8086111,23.5883052,89.83019445,23.576805399999998,POINT (89.83019445 23.576805399999998),"LINESTRING (89.8517778 23.5653056, 89.8086111 23.5883052)"
N540-1L,Nabinagar(Int.withN5)-Baipail (int.with N302) (Left),LRPS,0,0,LRPS,2979,2.979,2.979,102.0,1742.0,858.0,1662.0,683.0,853.0,123.0,895.0,1886.0,599.0,372.0,686.0,0.0,9403.0,1058.0,10461.0,10461.0,N540,90.2585,23.9135,90.2585,23.9135,90.2585,23.9135,POINT (90.2585 23.9135),"LINESTRING (90.2585 23.9135, 90.2585 23.9135)"
N540-1R,Nabinagar(Int.withN5)-Baipail (int.with N302) (Right),LRPS,0,0,LRPS,2979,2.979,2.979,101.0,1877.0,870.0,1488.0,623.0,743.0,135.0,968.0,1724.0,560.0,393.0,725.0,0.0,9089.0,1118.0,10207.0,10207.0,N540,90.2585,23.9135,90.2585,23.9135,90.2585,23.9135,POINT (90.2585 23.9135),"LINESTRING (90.2585 23.9135, 90.2585 23.9135)"
N540-2L,Baipail (int.with N302)-Chandra (int.with N4) (Left),LRPS,2979,2.979,LRPS,16010,16.01,13.031,27.0,1479.0,480.0,1033.0,444.0,389.0,79.0,678.0,528.0,369.0,81.0,764.0,0.0,5506.0,845.0,6351.0,6351.0,N540,90.2585,23.9135,90.2585,23.9135,90.2585,23.9135,POINT (90.2585 23.9135),"LINESTRING (90.2585 23.9135, 90.2585 23.9135)"
N540-2R,Baipail (int.with N302)-Chandra (int.with N4) (Right),LRPS,2979,2.979,LRPS,16010,16.01,13.031,21.0,1555.0,543.0,1088.0,443.0,465.0,81.0,646.0,457.0,417.0,67.0,667.0,0.0,5716.0,734.0,6450.0,6450.0,N540,90.2585,23.9135,90.2585,23.9135,90.2585,23.9135,POINT (90.2585 23.9135),"LINESTRING (90.2585 23.9135, 90.2585 23.9135)"
N709-1,Fultala- (Int.with R760),LRPS,0,0,LRP016,420,16.487,16.487,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0,N709,89.4879719,22.935583,89.5268327,22.8020278,89.5074023,22.8688054,POINT (89.5074023 22.8688054),"LINESTRING (89.4879719 22.935583, 89.5268327 22.8020278)"
N709-2L,(Int.with R760) - Muhammed Nagar Chowrasta(Int.with Z7606) (Left),LRP016,420,16.487,LRP018,55,18.122,1.635,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0,N709,89.5268327,22.8020278,89.536333,22.7865274,89.53158285,22.7942776,POINT (89.53158285 22.7942776),"LINESTRING (89.5268327 22.8020278, 89.536333 22.7865274)"
