road,id,model_type,condition,name,lat,lon,length
N1,1000090,link,NaN,link_LRP072,23.4868805937254,91.017566692647,3099.8999999999905
N1,1000091,bridge,B,CORI PAI BOX CULVERT,23.4817873233065,91.0463348850746,4.6
N1,1000092,link,NaN,link_LRP075,23.4817873233065,91.0463348850746,1028.4000000000015
N1,1000093,bridge,B,COREPAI BOX CULVERT,23.4817498298684,91.0563549686842,4.6
N1,1000094,link,NaN,link_LRP076,23.4817498298684,91.0563549686842,1164.399999999997
N1,1000095,bridge,A,NIMSHAR SLAB CULVERT,23.480613086,91.0674097692,1.5
N1,1000096,link,NaN,link_LRP077,23.480613086,91.0674097692,1899.5000000000105
N1,1000097,bridge,C,KABILA DUBARCHAR SLAB CULVERT,23.4776722851,91.0847406393,1.0
N1,1000098,link,NaN,link_LRP079,23.4776722851,91.0847406393,2565.999999999993
N1,1000099,bridge,B,NAZIRA BOX CULVERT,23.4781159049382,91.1070332074074,3.0
N1,1000100,intersection,NaN,IS_N1N102,23.4823491207874,91.1102253639139,20.0
N1,1000101,link,NaN,link_LRP081,23.4781159049382,91.1070332074074,1484.9999999999995
N1,1000102,bridge,A,TIPRA BAZAR BOX CULVERT,23.4794083880733,91.1238920825688,2.15
N1,1000103,link,NaN,link_LRP083,23.4794083880733,91.1238920825688,5273.849999999997
N1,1000104,bridge,C,Dhanpur Bridge,23.4436339598272,91.1493668151188,22.85
N1,1000105,link,NaN,link_LRP088,23.4436339598272,91.1493668151188,3356.150000000005
N1,1000106,bridge,C,Paduar Bazar Bridge,23.4212487704918,91.1678943372365,35.97
N1,1000107,link,NaN,link_LRP092,23.4212487704918,91.1678943372365,2472.0299999999957
N1,1000108,bridge,C,Mostapur Bridge,23.4119324230158,91.1939029849206,27.35
N1,1000109,link,NaN,link_LRP094,23.4119324230158,91.1939029849206,3629.650000000011
N1,1000110,bridge,C,Matigara Bridge,23.3976518197887,91.2234221346859,27.35
N1,1000111,link,NaN,link_LRP098,23.3976518197887,91.2234221346859,3653.6499999999974
N1,1000112,bridge,A,Suagazi Bridge.,23.3713647755,91.2450175414999,30.48
N1,1000113,link,NaN,link_LRP101,23.3713647755,91.2450175414999,2487.520000000001
N1,1000114,bridge,C,LAL BAG RCC GIDER BRIDGE,23.3521636774381,91.2572910746724,22.8
N1,1000115,link,NaN,link_LRP104,23.3521636774381,91.2572910746724,1274.199999999997
N1,1000116,bridge,A,CHANSIRI BOXCUIVERT,23.342671472,91.264485636,14.3
N1,1000117,link,NaN,link_LRP105,23.342671472,91.264485636,1751.7000000000055
N1,1000118,bridge,A,MIABAZAR BOX CULVERT,23.3301462324,91.2748792824,24.0
N1,1000119,link,NaN,link_LRP107,23.3301462324,91.2748792824,1581.9999999999945
N1,1000120,bridge,A,NOYA BAZER BOX CULVERT,23.3180696869138,91.2830867321701,9.2
N1,1000121,link,NaN,link_LRP109,23.3180696869138,91.2830867321701,1154.8000000000013
N1,1000122,bridge,B,DOLL BARI CULVERT,23.3083612731261,91.2865787034735,10.9
N1,1000123,link,NaN,link_LRP110,23.3083612731261,91.2865787034735,1251.1000000000004
N1,1000124,bridge,A,LALGORE BEZER CULVERT,23.2979675271676,91.2910141369942,3.2
N1,1000125,link,NaN,link_LRP111,23.2979675271676,91.2910141369942,954.7999999999984
N1,1000126,bridge,A,SUPUYA BOX CULVERT,23.2897066386454,91.2929584711155,13.4
N1,1000127,link,NaN,link_LRP112,23.2897066386454,91.2929584711155,946.5999999999938
N1,1000128,bridge,B,BOWCHI BAZAR CULVERT,23.2821949258397,91.2966655096899,4.6
N1,1000129,link,NaN,link_LRP113,23.2821949258397,91.2966655096899,1243.4000000000046
N1,1000130,bridge,B,AMAN GONG SLAB CULVERT,23.27301895,91.3029661882,6.3
N1,1000131,link,NaN,link_LRP114,23.27301895,91.3029661882,1328.700000000008
N1,1000132,bridge,B,RANGAMATIA (1) BOX CULVERT,23.2618360940594,91.3070217386138,3.1999999999999997
N1,1000133,link,NaN,link_LRP116,23.2618360940594,91.3070217386138,1018.7999999999913
N1,1000134,bridge,B,HARISHARDE CULVERT,23.2527463398104,91.3083926405213,4.5
N1,1000135,link,NaN,link_LRP117,23.2527463398104,91.3083926405213,1008.5000000000052
N1,1000136,bridge,B,SONAGATI BOX CULVERT,23.2443915125925,91.3114032292592,8.1
N1,1000137,link,NaN,link_LRP118,23.2443915125925,91.3114032292592,953.9000000000033
N1,1000138,bridge,A,KALIR BAZAR BOX CULVERT,23.2360759516523,91.3129901976744,2.8
N1,1000139,link,NaN,link_LRP119,23.2360759516523,91.3129901976744,1138.1999999999912
N1,1000140,bridge,B,CHAUDDAGARAM BOX CULVERT,23.2259184472573,91.3135697177215,4.3
N1,1000141,link,NaN,link_LRP120,23.2259184472573,91.3135697177215,1439.7000000000028
N1,1000142,bridge,B,HAYDAR POLE BOX CULVERT,23.2131955721448,91.3153497403899,14.3
N1,1000143,link,NaN,link_LRP121,23.2131955721448,91.3153497403899,918.6999999999928
N1,1000144,bridge,A,FALGUNCORA CULVERT,23.2050386287937,91.3163167282749,6.1
N1,1000145,link,NaN,link_LRP122,23.2050386287937,91.3163167282749,1029.9000000000015
N1,1000146,bridge,A,ATTOCK GRAM BOX CULVERT,23.1961887953757,91.3176705069364,6.1
N1,1000147,link,NaN,link_LRP123,23.1961887953757,91.3176705069364,1071.900000000003
N1,1000148,bridge,C,BOSONTA PUR BOX CULVERT,23.1874350254302,91.3209051317399,6.1
N1,1000149,link,NaN,link_LRP124,23.1874350254302,91.3209051317399,658.9000000000062
N1,1000150,bridge,B,BASHONTA PUR (2),23.1817958149837,91.3208787514658,9.5
N1,1000151,link,NaN,link_LRP125,23.1817958149837,91.3208787514658,1054.499999999993
N1,1000152,bridge,B,NANKORA BOX CULVERT,23.1726272318681,91.3205774642857,3.1
N1,1000153,link,NaN,link_LRP126,23.1726272318681,91.3205774642857,1034.899999999997
N1,1000154,bridge,A,ANDAJER BAZER BOX CULVERT,23.1635138669191,91.3215889464646,9.5
N1,1000155,link,NaN,link_LRP127,23.1635138669191,91.3215889464646,1215.5000000000086
N1,1000156,bridge,B,DIMATOLI (1) BOX CULVERT,23.1527364949367,91.3243178772152,6.3
N1,1000157,link,NaN,link_LRP128,23.1527364949367,91.3243178772152,1087.6999999999941
N1,1000158,bridge,B,DIMATOLY (2) BOX CULVERT,23.1436667679334,91.3266680470308,3.5
N1,1000159,link,NaN,link_LRP129,23.1436667679334,91.3266680470308,520.5000000000009
N1,1000160,bridge,B,JAGARNATHPUR BOX CULVERT,23.1389893200345,91.3263585348877,6.1
N1,1000161,link,NaN,link_LRP130,23.1389893200345,91.3263585348877,657.9000000000157
N1,1000162,bridge,B,JAGOT PUR BOX CULVERT,23.1332639685968,91.327546416481,4.75
N1,1000163,link,NaN,link_LRP131,23.1332639685968,91.327546416481,1617.2499999999857
