road,id,model_type,length,condition,LRPName,name,chainage,lat,lon
N1,145,link,658.9000000000062,0,LRP124-road,road N1,123.6871,23.1874350254302,91.3209051317399
N1,146,bridge,9.5,B,LRP125,BASHONTA PUR (2),124.346,23.1817958149837,91.3208787514658
N1,147,link,1054.499999999993,0,LRP125-road,road N1,124.3555,23.1817958149837,91.3208787514658
N1,148,bridge,3.1,B,LRP126,NANKORA BOX CULVERT,125.41,23.1726272318681,91.3205774642857
N1,149,link,1034.899999999997,0,LRP126-road,road N1,125.4131,23.1726272318681,91.3205774642857
N1,150,bridge,9.5,A,LRP127,ANDAJER BAZER BOX CULVERT,126.448,23.1635138669191,91.3215889464646
N1,151,link,1215.5000000000086,0,LRP127-road,road N1,126.4575,23.1635138669191,91.3215889464646
N1,152,bridge,6.3,B,LRP128,DIMATOLI (1) BOX CULVERT,127.673,23.1527364949367,91.3243178772152
N1,153,link,1087.6999999999941,0,LRP128-road,road N1,127.6793,23.1527364949367,91.3243178772152
N1,154,bridge,3.5,B,LRP129,DIMATOLY (2) BOX CULVERT,128.767,23.1436667679334,91.3266680470308
N1,155,link,520.5000000000009,0,LRP129-road,road N1,128.7705,23.1436667679334,91.3266680470308
N1,156,bridge,6.1,B,LRP130,JAGARNATHPUR BOX CULVERT,129.291,23.1389893200345,91.3263585348877
N1,157,link,657.9000000000157,0,LRP130-road,road N1,129.2971,23.1389893200345,91.3263585348877
N1,158,bridge,4.75,B,LRP131,JAGOT PUR BOX CULVERT,129.955,23.1332639685968,91.327546416481
N1,159,link,1617.2499999999857,0,LRP131-road,road N1,129.95975,23.1332639685968,91.327546416481
N1,160,bridge,4.5,B,LRP132,FOKIR BAZAR SLAB CULVERT,131.577,23.1196973774193,91.3328165129032
N1,161,link,497.50000000000955,0,LRP132-road,road N1,131.5815,23.1196973774193,91.3328165129032
N1,162,bridge,5.3,B,LRP133,KAKKARA CULVERT,132.079,23.1158251554,91.335094485
N1,163,link,1070.6999999999935,0,LRP133-road,road N1,132.0843,23.1158251554,91.335094485
N1,164,bridge,6.1,A,LRP134,Chanara Box Culvert,133.155,23.1074284451388,91.3400495436111
N1,165,link,711.8999999999893,0,LRP134-road,road N1,133.1611,23.1074284451388,91.3400495436111
N1,166,bridge,6.3,B,LRP135,CHANGARPULL(II) BOX CULVERT,133.873,23.1017563206521,91.343162998913
N1,167,link,1094.6999999999991,0,LRP135-road,road N1,133.8793,23.1017563206521,91.343162998913
N1,168,bridge,6.175,B,LRP136,PODOYA BOX CULVERT,134.974,23.0930298369186,91.3478308386627
N1,169,link,1394.8250000000105,0,LRP136-road,road N1,134.980175,23.0930298369186,91.3478308386627
N1,170,bridge,8.85,B,LRP137,UTTOR KAIEATI CULVERT,136.375,23.0819909531309,91.3541811474383
N1,171,link,1472.1499999999946,0,LRP137-road,road N1,136.38385,23.0819909531309,91.3541811474383
N1,172,bridge,6.1,B,LRP138,DUTHOSHA BOX CULVERT,137.856,23.070198184,91.3603022
N1,173,link,1090.9000000000085,0,LRP138-road,road N1,137.8621,23.070198184,91.3603022
N1,174,bridge,4.0,B,LRP140,MOHAMMAD ALI MAZAR,138.953,23.0607473333333,91.3618624619047
N1,175,link,2574.0000000000027,0,LRP140-road,road N1,138.957,23.0607473333333,91.3618624619047
N1,176,bridge,10.8,A,LRP142,FATAPUR BOX CULVERT,141.531,23.0379728055555,91.3656784724359
N1,177,link,1251.2000000000005,0,LRP142-road,road N1,141.5418,23.0379728055555,91.3656784724359
N1,178,bridge,1.6,A,LRP143,DEBIPUR SLAB CULVERT,142.793,23.0269801170731,91.3655004839721
N1,179,link,2144.3999999999864,0,LRP143-road,road N1,142.7946,23.0269801170731,91.3655004839721
N1,180,bridge,3.4,A,LRP145,CHARIPUR CULVERT.,144.939,23.0124048410423,91.3779796149837
N1,181,link,2353.599999999999,0,LRP145-road,road N1,144.9424,23.0124048410423,91.3779796149837
N1,182,bridge,1.5,A,LRP148,RAMPUR BOX CULVERT,147.296,22.999248756,91.3957752
N1,183,link,853.5000000000182,0,LRP148-road,road N1,147.29749999999999,22.999248756,91.3957752
N1,184,bridge,15.636666666666665,B,LRP149,Rampur Bridge(L),148.151,22.9947280792802,91.4022894900763
N1,185,link,5676.363333333313,0,LRP149-road,road N1,148.16663666666668,22.9947280792802,91.4022894900763
N1,186,bridge,98.87,C,LRP155,Lemua Bridge(L),153.843,22.9614487369369,91.4429962027027
N1,187,link,4089.1300000000165,0,LRP155-road,road N1,153.94187,22.9614487369369,91.4429962027027
N1,188,bridge,1.5,A,LRP159,FAZAILPUR BOXCULVERT,158.031,22.9486038666666,91.4794993833333
N1,189,link,2346.4999999999845,0,LRP159-road,road N1,158.0325,22.9486038666666,91.4794993833333
N1,190,bridge,193.22,B,LRP161,Muhuri Bridge(L),160.379,22.9496126090047,91.502066899526
N1,191,link,4610.780000000002,0,LRP161-road,road N1,160.57222,22.9496126090047,91.502066899526
N1,192,bridge,113.35,B,LRP166,DHOOM GHAT PC GIRDER,165.183,22.9149647061403,91.5262895350877
N1,193,link,1182.6500000000208,0,LRP166-road,road N1,165.29635,22.9149647061403,91.5262895350877
N1,194,bridge,3.0,A,LRP167,BOROYAR PARA SLUB CULVERT,166.479,22.9042462955223,91.5316297776119
N1,195,link,1480.9999999999804,0,LRP167-road,road N1,166.482,22.9042462955223,91.5316297776119
N1,196,bridge,3.0,A,LRP169,BAROYARHAT BOX CULVERT,167.963,22.8916386,91.5354719
N1,197,link,1966.9999999999989,0,LRP169-road,road N1,167.96599999999998,22.8916386,91.5354719
N1,198,bridge,2.6,A,LRP171,UTTOR SONAPAR BOX CULVERT,169.933,22.8746986941176,91.5408836647058
N1,199,link,1618.4000000000094,0,LRP171-road,road N1,169.9356,22.8746986941176,91.5408836647058
N1,200,bridge,3.15,A,LRP172,DHARBAR TILA CULVERT,171.554,22.8609876872509,91.5451551717131
N1,201,link,564.8500000000121,0,LRP172-road,road N1,171.55715,22.8609876872509,91.5451551717131
N1,202,bridge,1.5,A,LRP173,MAMAFOUN ASTANA CULVERT,172.122,22.8560565672727,91.5457188709091
N1,203,link,845.49999999998,0,LRP173-road,road N1,172.1235,22.8560565672727,91.5457188709091
N1,204,bridge,4.333333333333333,A,LRP174,MASTANNAGOR BONCUL(1),172.969,22.8486172764705,91.5463706117647
N1,205,link,885.6666666666814,0,LRP174-road,road N1,172.97333333333333,22.8486172764705,91.5463706117647
N1,206,bridge,3.0,A,LRP175,MUSTAN NAGAR -4,173.859,22.8410943334277,91.5488096951841
N1,207,link,1150.9999999999964,0,LRP175-road,road N1,173.862,22.8410943334277,91.5488096951841
N1,208,bridge,8.45,C,LRP176,RAIPUR (2) BOX CULVERT,175.013,22.8309613422018,91.5505028545871
N1,209,link,2225.5500000000093,0,LRP176-road,road N1,175.02145000000002,22.8309613422018,91.5505028545871
N1,210,bridge,9.5,B,LRP179,MUCHIPOOL CULVERT,177.247,22.811563437647,91.5562562129411
N1,211,link,2106.4999999999854,0,LRP179-road,road N1,177.25650000000002,22.811563437647,91.5562562129411
