name,length,condition,betweenness,total_delay_time,vehicle_count
PAKKA MATA BOX CULVERT,3.0,A,0.35799999542353994,0.0,73003
GLAXO BOX CULVERT,8.3,A,0.35697761424560487,0.0,73000
CORNAIL HAT BOX CULVERT,3.0,A,0.35595157189961996,0.0,73005
BOALIA BOX CULVERT,4.65,C,0.3549218683855851,126098.1145486099,73025
BAKULIA BRIDGE,14.7,B,0.29264997631681916,81719.40022433749,26401
5 No hafez bazar Bridge,39.67,C,0.2914152473919898,105683.9194698045,26414
Tulatuli Bridge,44.845,C,0.2901768572991106,106473.79319944567,26400
Hajrath Sha Amanath Satu,914.0,C,0.2889348060381814,375039.094000903,26457
SHIKALBAHA BRIDGE,11.0,C,0.28768909360920236,124806.49186032156,26401
SHIKALBAHA,15.2,C,0.2864397200121734,105791.42128500872,26394
SOUTH MITTACHORI,3.9,A,0.2851866852470945,0.0,26369
ISLAMPUR CULVERT,2.25,A,0.28392998931396574,0.0,26370
SHIKALBAHA MORE,3.0,A,0.28266963221278707,0.0,26367
SHIKALBAHA BRIDGE,116.5,C,0.2814056139435585,184829.59051900095,26414
SHANTERHAT CULVERT,3.0,B,0.28013793450628005,27498.51295284635,26376
SHANTERHAT BOX CULVERT,3.1,B,0.2788665939009517,24758.65442470639,26378
KUSUMPUR BOX CULVERT,3.0,A,0.2775915921275734,0.0,26365
MUNSHA BOX CULVERT(L),10.8,B,0.27631292918614525,63230.19182917773,26381
MONSHA CULVERT,3.0,A,0.27503060507666716,0.0,26372
Pirol,5.3,A,0.27374461979913917,0.0,26372
UZIRPUR HIGH SCHOOL,3.0,A,0.2724549733535613,0.0,26371
PATIYA BRIDGE,50.8,C,0.2711616657399335,205707.4462978132,26412
PALYA BUS STATION,12.4,A,0.2698646969582558,0.0,26370
SRIMI BRIDGE,60.5,C,0.26856406700852825,185294.76012670033,26408
KOMOLMUNSHE HAT BOX CULVERT,14.0,B,0.26725977589075073,72604.36427252932,26379
KHORNA CULVERT,3.0,A,0.26595182360492337,0.0,26366
KHORNA BVS STATION,12.3,C,0.26464021015104605,106444.60629258722,26394
MOJAFFARABAD,7.6,A,0.2633249355291189,0.0,26369
MOJAFFORABAD,9.4,A,0.2620059997391418,0.0,26369
ROWSONAT CUL,14.0,A,0.2606834027811148,0.0,26369
Kanchon Nagar Bridge,11.05,B,0.2593571446550379,75786.29773376697,26382
GASBAREA BOX CULVERT,14.0,A,0.2580272253609111,0.0,26366
GASBAREA COLLEGE BOX CULVERT,9.2,A,0.25669364489873436,0.0,26365
Mazar Point Bridge,30.0,D,0.2553564032685078,166603.19035992827,26397
NOYARHAT,12.3,B,0.2540155004702313,68578.01168166446,26394
SANGO BRIDGE DOMAJAR,211.3,C,0.2526709365039049,373103.3662466636,26461
KATGOR CULVERT,9.2,A,0.25132271136952855,0.0,26392
MOULOVER DOKAN,20.48333333333333,A,0.24997082506710236,0.0,26389
Noyakhalar Muk Bridge,21.23333333333333,A,0.24861527759662624,0.0,26387
KARANERHAT CULVERT,5.0,A,0.24725606895810023,0.0,26387
KARANERHAT CULVERT,7.2,A,0.2458931991515243,0.0,26390
KOACHIA(MADARBHI),11.2,A,0.2445266681768985,0.0,26389
MITADIGI ACADEMY,2.0,A,0.24315647603422277,0.0,26389
MITADIGI,12.6,A,0.24178262272349715,0.0,26390
Raj Ghata Bridge,23.6,B,0.24040510824472164,65579.18337422595,26410
NOYA PARA BOX CULVERT,5.35,A,0.2390239325978962,0.0,26391
PODUA BAZAR BOX CULVERT,9.3,A,0.2376390957830209,0.0,26392
BARO AWLIA(R),8.07,A,0.23625059780009566,0.0,26394
AMIRABAD BOX CULVERT,35.65,A,0.2348584386491205,0.0,26394
AMIRABAD LOHAGOR BOX CULVERT,6.0,A,0.2334626183300955,0.0,26395
LOHAGORA L.S BOX CULVERT,3.0,A,0.23206313684302057,0.0,26395
DIGIRPARK BOX CULVERT,9.4,A,0.23065999418789573,0.0,26394
ZADUNAGOR FILLING BOX CULVERT,24.633333333333336,A,0.229253190364721,0.0,26392
ZADUNAGOR BUS STATION BOX CULVERT,18.1,A,0.22784272537349634,0.0,26390
Hatirpul Bridge,14.866666666666664,B,0.22642859921422182,72339.04648223442,26404
MUSKAMPANI PARA BOX CULVERT,2.5,A,0.22501081188689737,0.0,26387
AODU NAGOR (2) BOX CULVERT,1.5,A,0.22358936339152302,0.0,26387
Rataykul Bridge,15.3,A,0.22216425372809878,0.0,26386
BON PUKUL PARA BOX CULVERT,12.65,A,0.22073548289662465,0.0,26385
SANTI BOX CULVERT,1.4,A,0.2193030508971006,0.0,26388
BRICK FIELD BOX CULVERT,6.9,A,0.21786695772952663,0.0,26386
AZIZNAGOR FOREST BOX CULVERT,4.6,A,0.21642720339390278,0.0,26390
AZIZNAGOR BOX CULVERT,2.5,A,0.21498378789022904,0.0,26389
AZIZ NAGOR 1,6.6,A,0.21353671121850537,0.0,26389
HARBHANG CHOR,13.64,A,0.21208597337873183,0.0,26388
GHOIL MARA BOX CULVERT,9.3,A,0.21063157437090838,0.0,26393
HARBANG,3.0,A,0.209173514195035,0.0,26391
HARBANG,3.0,A,0.20771179285111174,0.0,26393
Harbang Chora Bridge,56.2,C,0.20624641033913857,184396.74164468795,26434
ALIPUR BOX CULVERT,8.200000000000001,A,0.2047773666591155,0.0,26392
HAR BAG BOX CULVERT,3.75,A,0.20330466181104254,0.0,26392
ATKOTA,15.8,A,0.20182829579491968,0.0,26391
AKOTA BAZAR BOX CULVERT,21.566666666666663,A,0.2003482686107469,0.0,26391
BODOITOLI BOX CULVERT,14.0,A,0.19886458025852424,0.0,26392
BANIYAR CHORA,14.0,A,0.19737723073825167,0.0,26390
NOL BELA-1 BOX CULVERT,20.8,A,0.19588622004992917,0.0,26389
NOLBELA BOX CULVERT,14.2,B,0.1943915481935568,65168.44813495732,26405
DIDDA BAZAR BOX CULVERT,15.7,A,0.19289321516913452,0.0,26390
Mathamuhuri Bridge,294.15,D,0.19139122097666234,674324.1749750152,26570
BANDI BAZAR BOX CULVERT,9.3,B,0.18988556561614026,28171.441845624093,26411
KUMARIKOOL BOX CULVERT,19.2,A,0.18837624908756828,0.0,26402
HASIRUGIGI,12.6,A,0.18686327139094638,0.0,26398
CHOHAJANYA (1),12.8,A,0.18534663252627462,0.0,26396
CHOHAJANIYA (2),9.3,A,0.1838263324935529,0.0,26395
Polia Fari Bridge,36.285,C,0.18230237129278132,90887.80870156288,26418
DULAHAJARA CULVERT,3.5,A,0.18077474892395984,0.0,26406
Dulahajar Bridge,54.03,C,0.17924346538708844,176837.8519280711,26438
BOYRAGIR KHIL,32.75,C,0.17770852068216714,87434.45024660481,26422
KHUTAKHALI,1.45,B,0.17616991480919594,24569.52283326692,26412
khutakhali bazar,45.3,B,0.17462764776817485,73052.4331976086,26420
FULCHARI (NEWPARA),6.1,A,0.17308171955910384,0.0,26408
FULCHARI CULVERT,11.65,A,0.17153213018198293,0.0,26408
NAPITE KHALI CULVERT,2.95,A,0.16997887963681213,0.0,26409
EAST NAPITL KHAL BOX CULVERT,2.5,A,0.16842196792359143,0.0,26406
NAEK KHALI BOX CULVERT,12.4,A,0.1668613950423208,0.0,26406
KHODIA BARI PRIMARY BOX CULVERT,9.5,A,0.16529716099300032,0.0,26406
ISLAMABAD KHODIABARI BOX CULVERT,5.9,A,0.1637292657756299,0.0,26406
Eidgaon Bazar Bridge,45.3,A,0.16215770939020957,0.0,26403
